Student_ID,Age,Gender,Year_of_Study,Average_Screen_Time_per_Day,Main_Purpose_of_Use,Number_of_Social_Media_Apps,Daily_Social_Media_Usage_Hours,Mobile_Usage_Before_Sleep,Sleep_Hours_Per_Night,Academic_Performance_CGPA,Anxiety_Level,Stress_Level,Participation_in_Physical_Activities,Feelings_of_Loneliness,Family_Background,Hostel_or_Day_Scholar,Has_Smartphone_Since,Expenditure_on_Mobile_Per_Month,Attempts_to_Reduce_Usage,Self_Reported_Addiction_Level,Favorite_App,Average_YouTube_Watch_Time_Per_Day,Gaming_Hours_Per_Week,TikTok_Reels_Usage_Hours_Per_Day,Daily_Number_of_Mobile_Unlocks,Notifications_Received_Per_Day,FOMO_Level,Self_Control_Rating_Out_of_10,Parental_Restrictions,Previous_Attempts_to_Quit_Social_Media,Mindfulness_Practice,Physical_Exercise_Hours_Per_Week,Relationship_Status,Part_Time_Job,Average_Data_Consumption_Per_Day_GB,Preferred_Screen_Brightness_Percentage,Preferred_Device_Brand,Peer_Pressure_Experience,Depression_Symptoms,Hours_Spent_on_Online_Shopping_Per_Week,Involvement_in_Student_Organizations,Daily_Whatsapp_Messages_Sent,Screen_Time_on_Weekends,Screen_Time_on_Weekdays,Usage_of_Productivity_Apps,Time_Spent_on_Educational_Content_Per_Week,Average_Battery_Consumption_Per_Day_Percentage,Participates_in_Digital_Detox_Camps,Uses_Screen_Time_Management_Apps
S0011,20,Other,3rd,6.2,Entertainment,6,2.8,51,6.4,8.65,Moderate,High,No,Sometimes,Rural,Hostel,6,1953,No,Moderate,Telegram,1.3,7.0,1.1,69,193,Moderate,1.8,No,Yes,Yes,1.9,Complicated,No,3.65,73,Xiaomi,Never,Moderate,0.8,Yes,68,6.6,6.7,No,3.9,51,No,No
S0012,24,Male,2nd,9.7,Gaming,4,4.3,47,6.2,5.1,High,Moderate,Yes,Never,Rural,Hostel,3,853,Yes,Moderate,Instagram,1.3,7.3,0.5,149,286,Moderate,6.6,Yes,Yes,Yes,3.5,In a Relationship,No,2.69,40,Xiaomi,Never,None,2.1,Yes,383,9.1,4.3,No,0.3,44,No,No
S0013,20,Female,3rd,5.6,Study,7,2.7,77,5.5,6.03,High,High,Yes,Sometimes,Rural,Hostel,7,1483,No,Moderate,Instagram,1.2,4.6,0.8,41,248,High,3.5,Yes,Yes,Yes,2.5,Complicated,Yes,3.92,62,Samsung,Never,Mild,2.9,No,428,5.3,6.3,Yes,4.1,76,Yes,Yes
S0014,20,Female,4th,5.4,Study,4,2.0,62,6.9,7.44,Low,High,Yes,Often,Rural,Day Scholar,5,1452,No,Moderate,Snapchat,1.1,6.8,1.0,114,96,High,1.2,No,No,Yes,2.5,Single,Yes,3.9,30,Xiaomi,Never,None,2.2,Yes,377,6.9,3.9,Yes,3.8,98,Yes,Yes
S0015,25,Other,4th,4.3,Entertainment,7,2.2,42,6.0,9.39,Moderate,Low,No,Sometimes,Rural,Hostel,7,1968,No,Moderate,WhatsApp,1.2,5.7,1.6,45,116,High,6.0,Yes,No,No,2.8,Single,Yes,3.53,86,OnePlus,Rarely,Mild,3.8,No,409,6.9,4.8,Yes,0.5,81,No,Yes
S0016,22,Male,2nd,3.7,Study,8,5.2,80,7.2,7.64,Low,Low,Yes,Never,Rural,Hostel,7,1163,No,Mild,YouTube,0.8,0.7,1.1,107,80,Low,6.2,Yes,No,No,3.2,In a Relationship,Yes,4.19,57,Other,Often,None,1.1,Yes,384,5.8,6.2,Yes,1.7,68,Yes,No
S0017,21,Other,4th,4.2,Social Media,5,2.8,65,5.4,9.65,High,Low,No,Sometimes,Urban,Hostel,4,281,Yes,Moderate,Telegram,1.1,4.0,0.7,114,125,High,4.8,Yes,Yes,No,1.5,Single,No,2.8,43,Xiaomi,Always,Mild,0.5,Yes,380,9.0,3.1,Yes,2.1,31,Yes,Yes
S0018,25,Male,3rd,4.9,Social Media,9,1.6,114,8.2,7.42,High,Low,No,Sometimes,Urban,Day Scholar,5,1613,No,Mild,WhatsApp,2.5,3.2,1.2,77,57,High,1.7,No,Yes,Yes,3.6,In a Relationship,No,1.49,70,Samsung,Rarely,None,3.4,Yes,216,8.0,2.7,Yes,3.7,74,No,No
S0019,25,Female,1st,8.0,Social Media,6,1.2,81,5.6,7.45,High,Low,No,Often,Rural,Hostel,3,1332,No,Moderate,Telegram,1.9,3.6,1.9,120,266,High,9.0,Yes,Yes,No,0.4,Complicated,No,3.24,95,OnePlus,Rarely,Severe,0.6,Yes,370,8.8,4.3,No,1.2,53,No,Yes
S0020,20,Female,1st,6.1,Study,4,2.4,110,6.7,5.6,Low,Low,Yes,Never,Urban,Hostel,7,1002,Yes,None,WhatsApp,2.0,1.1,1.5,129,238,High,6.5,No,Yes,Yes,2.0,In a Relationship,No,2.06,80,Samsung,Always,Mild,2.3,No,445,9.1,4.6,Yes,0.9,90,Yes,Yes
S0021,23,Female,1st,6.3,Gaming,7,2.8,60,7.3,9.01,High,Moderate,Yes,Sometimes,Rural,Hostel,3,1396,No,Moderate,YouTube,2.1,8.4,1.3,30,93,Moderate,2.0,No,No,Yes,3.3,In a Relationship,No,2.54,65,Samsung,Often,Severe,3.4,Yes,75,7.1,4.7,No,0.7,94,Yes,No
S0022,22,Female,2nd,5.9,Gaming,7,3.9,83,5.9,6.23,Moderate,High,No,Often,Urban,Day Scholar,8,1242,No,None,Telegram,2.4,9.8,1.4,94,227,Low,5.6,No,Yes,No,3.5,Single,Yes,1.07,62,Samsung,Rarely,Mild,2.2,Yes,271,10.1,5.2,No,0.0,82,Yes,Yes
S0023,19,Other,4th,6.5,Gaming,8,3.9,52,7.4,9.5,Low,Low,Yes,Sometimes,Rural,Day Scholar,8,1505,No,Mild,Instagram,0.6,7.9,1.7,51,84,Moderate,5.5,Yes,No,Yes,2.7,Complicated,No,2.53,46,Samsung,Always,None,1.3,Yes,279,4.6,6.5,No,4.3,50,Yes,No
S0024,25,Male,3rd,8.1,Gaming,7,3.0,24,5.3,9.55,High,Moderate,Yes,Never,Urban,Hostel,8,1045,No,Moderate,Snapchat,0.9,8.8,1.5,44,253,Moderate,1.5,Yes,No,No,1.4,Complicated,No,4.24,49,Apple,Often,Moderate,3.3,Yes,242,6.7,8.9,Yes,3.2,96,No,Yes
S0025,21,Male,4th,3.0,Social Media,9,2.5,47,8.0,9.72,Low,High,No,Sometimes,Rural,Hostel,6,1659,Yes,Severe,Telegram,1.1,4.0,1.3,145,238,Low,6.5,No,Yes,No,3.3,In a Relationship,No,3.17,82,Other,Often,None,2.2,No,166,7.3,5.1,No,4.6,30,No,Yes
S0026,23,Other,4th,7.8,Social Media,3,3.3,24,6.5,7.6,Low,Low,No,Sometimes,Urban,Hostel,4,357,Yes,Mild,Facebook,1.3,3.1,1.5,113,296,Moderate,8.3,No,No,No,1.0,Complicated,No,1.04,29,Apple,Never,Moderate,1.8,Yes,115,3.5,6.6,No,1.6,88,No,Yes
S0027,23,Male,4th,2.2,Entertainment,2,1.3,14,5.9,8.39,High,Low,Yes,Sometimes,Urban,Day Scholar,3,1606,No,Moderate,YouTube,1.3,2.7,0.5,96,262,High,7.7,No,Yes,Yes,4.6,Complicated,Yes,2.88,22,OnePlus,Rarely,Severe,3.6,No,163,9.8,7.9,Yes,1.5,76,Yes,Yes
S0028,19,Female,1st,6.0,Study,9,5.0,102,6.2,8.89,High,Moderate,No,Sometimes,Rural,Day Scholar,8,608,Yes,Mild,YouTube,1.3,6.9,0.2,43,267,Low,2.8,Yes,Yes,Yes,1.9,In a Relationship,Yes,2.17,96,Apple,Often,Moderate,1.6,Yes,27,5.3,7.6,Yes,3.7,47,No,Yes
S0029,25,Male,3rd,9.3,Study,5,3.7,92,7.3,5.66,Low,High,Yes,Never,Rural,Hostel,8,191,Yes,Severe,Facebook,1.6,5.7,1.1,102,232,Moderate,8.8,Yes,Yes,Yes,0.0,In a Relationship,Yes,2.91,79,OnePlus,Rarely,Moderate,1.4,No,269,7.1,4.8,No,4.8,62,Yes,No
S0030,21,Female,3rd,7.0,Gaming,9,3.9,63,5.9,8.0,Low,Low,No,Often,Urban,Day Scholar,5,1284,Yes,Moderate,WhatsApp,1.5,4.8,1.0,48,243,Moderate,4.1,Yes,Yes,No,0.2,Complicated,No,2.62,46,Xiaomi,Always,Moderate,1.1,No,494,8.5,7.3,Yes,5.0,44,No,No
S0031,22,Other,4th,6.6,Social Media,8,1.9,60,5.8,5.17,High,High,Yes,Often,Urban,Hostel,7,248,Yes,Severe,Snapchat,1.1,8.9,0.7,69,63,High,9.5,Yes,No,Yes,2.1,In a Relationship,No,4.73,64,OnePlus,Rarely,Moderate,3.2,Yes,322,11.6,7.9,Yes,0.8,53,Yes,No
S0032,18,Male,1st,9.0,Gaming,8,4.3,19,6.3,7.49,Moderate,Moderate,Yes,Sometimes,Rural,Day Scholar,8,216,No,Moderate,WhatsApp,0.4,6.2,1.4,127,159,Moderate,1.6,Yes,No,No,2.2,Single,No,1.16,81,Apple,Often,Severe,2.4,No,128,3.7,8.3,No,4.9,65,Yes,Yes
S0033,21,Other,1st,4.9,Entertainment,9,2.5,21,5.3,5.77,Low,Low,No,Never,Urban,Hostel,6,557,Yes,None,Facebook,1.0,2.5,0.1,33,53,Moderate,5.4,Yes,Yes,Yes,5.0,Complicated,Yes,3.73,43,Apple,Always,Moderate,1.5,Yes,318,8.2,8.4,No,6.0,89,No,Yes
S0034,19,Male,3rd,6.7,Study,4,2.0,13,8.3,5.91,Low,High,Yes,Never,Rural,Day Scholar,5,664,No,Mild,Facebook,1.2,3.0,0.7,62,194,Moderate,6.4,Yes,No,No,0.4,In a Relationship,No,4.4,65,OnePlus,Always,None,0.6,Yes,111,6.4,4.3,No,3.8,63,No,Yes
S0035,23,Female,1st,6.9,Study,3,3.0,104,5.9,6.83,Moderate,Moderate,Yes,Never,Urban,Hostel,4,913,No,Severe,Snapchat,1.4,7.0,0.8,72,288,Low,3.2,No,No,No,2.1,Complicated,Yes,4.84,97,Apple,Never,Mild,3.4,No,34,8.3,6.4,No,5.3,80,Yes,Yes
S0036,22,Other,1st,5.2,Gaming,4,2.9,27,7.3,7.16,High,Moderate,No,Never,Urban,Day Scholar,9,144,Yes,Mild,Facebook,0.9,8.1,0.2,66,161,Low,7.9,Yes,No,Yes,0.4,Complicated,No,1.71,63,OnePlus,Always,Mild,1.5,Yes,440,8.9,5.0,No,4.0,69,Yes,No
S0037,21,Male,1st,5.3,Entertainment,4,1.9,89,6.7,8.12,High,Low,Yes,Never,Rural,Hostel,9,1900,No,Severe,Facebook,1.3,6.7,1.7,95,118,Moderate,6.6,No,Yes,Yes,1.3,Single,Yes,3.13,82,Samsung,Often,None,0.2,Yes,189,7.8,4.0,No,0.8,51,No,No
S0038,18,Female,2nd,5.2,Study,9,2.1,113,5.5,5.37,Moderate,High,Yes,Never,Rural,Hostel,6,873,Yes,Mild,Telegram,0.9,10.7,0.3,56,201,Moderate,1.2,Yes,Yes,No,4.5,Single,Yes,1.17,23,Other,Never,Severe,2.1,No,486,7.2,6.7,No,4.9,45,Yes,Yes
S0039,18,Other,4th,6.1,Entertainment,6,2.0,45,6.5,7.52,High,Low,Yes,Sometimes,Rural,Hostel,6,1942,No,Mild,Snapchat,1.4,9.9,0.7,74,98,High,6.5,No,Yes,No,0.3,Complicated,No,3.0,35,OnePlus,Often,None,3.0,Yes,171,4.9,6.3,No,3.8,71,Yes,No
S0040,20,Other,3rd,6.8,Entertainment,6,2.0,34,7.3,5.91,High,Low,No,Often,Urban,Hostel,6,333,No,Mild,YouTube,1.0,6.3,1.5,110,104,Low,5.4,Yes,No,Yes,2.9,Single,No,1.5,70,Samsung,Often,None,2.7,Yes,409,5.0,6.3,Yes,1.0,45,Yes,Yes
S0041,20,Male,3rd,6.2,Gaming,6,2.6,96,6.3,7.87,Low,High,No,Often,Urban,Day Scholar,7,1498,Yes,None,WhatsApp,1.1,2.5,1.3,142,248,Low,2.8,Yes,Yes,No,2.6,In a Relationship,Yes,4.35,93,Samsung,Never,Moderate,2.1,No,494,8.6,5.3,Yes,1.9,34,No,Yes
S0042,24,Male,2nd,7.1,Social Media,3,1.6,85,7.7,8.19,Low,High,No,Sometimes,Urban,Hostel,9,1670,No,Moderate,YouTube,0.8,1.1,0.4,79,200,Low,10.0,Yes,Yes,Yes,2.0,Complicated,Yes,1.46,67,Samsung,Never,Moderate,1.6,No,359,5.3,9.7,Yes,3.8,35,Yes,Yes
S0043,19,Male,4th,3.0,Gaming,4,2.3,107,7.5,7.78,Low,High,No,Often,Rural,Day Scholar,8,1973,Yes,None,YouTube,1.4,3.8,1.3,146,288,Moderate,9.1,No,Yes,Yes,2.8,Single,Yes,3.05,84,Samsung,Rarely,Severe,1.4,Yes,224,7.9,8.3,Yes,7.8,71,Yes,No
S0044,25,Female,3rd,5.7,Social Media,2,4.0,45,7.4,8.69,Moderate,Moderate,No,Never,Urban,Day Scholar,2,296,No,Mild,Telegram,1.1,7.3,1.1,124,130,High,3.6,Yes,Yes,No,0.3,Complicated,Yes,3.08,88,OnePlus,Often,Severe,3.3,Yes,392,9.6,5.4,Yes,6.6,59,Yes,Yes
S0045,21,Male,1st,4.5,Entertainment,5,3.8,110,6.0,6.68,High,Moderate,Yes,Never,Urban,Hostel,6,124,No,Severe,WhatsApp,2.0,10.5,2.2,92,189,High,5.9,Yes,Yes,Yes,4.5,Complicated,Yes,4.89,96,Apple,Rarely,Mild,0.0,No,133,4.4,6.0,No,0.0,61,No,No
S0046,21,Other,3rd,6.5,Social Media,6,2.0,76,5.4,8.83,High,High,Yes,Often,Rural,Hostel,5,494,Yes,Mild,YouTube,1.7,6.3,1.2,134,188,Moderate,3.8,No,Yes,No,4.9,In a Relationship,No,3.62,64,Samsung,Always,Severe,1.1,Yes,301,9.6,6.7,Yes,3.0,82,No,No
S0047,25,Other,1st,6.4,Entertainment,6,4.0,18,5.9,7.16,Low,Moderate,Yes,Never,Urban,Hostel,9,813,Yes,Moderate,Snapchat,1.5,8.5,0.9,35,164,Moderate,8.0,Yes,No,Yes,2.1,In a Relationship,Yes,2.15,22,Xiaomi,Always,None,1.9,No,165,9.5,7.5,Yes,6.0,48,No,Yes
S0048,24,Male,2nd,5.8,Study,8,1.0,70,6.7,7.42,Low,Low,No,Never,Urban,Hostel,5,1908,Yes,None,WhatsApp,1.1,4.3,0.6,145,124,High,9.4,Yes,Yes,No,5.6,In a Relationship,No,1.96,36,Samsung,Rarely,Mild,0.0,Yes,202,7.7,6.7,No,2.2,80,Yes,No
S0049,23,Male,1st,6.8,Study,4,5.4,62,7.0,8.24,Moderate,High,Yes,Often,Rural,Day Scholar,4,1159,No,Moderate,Instagram,1.7,6.9,0.6,124,147,High,4.2,No,No,Yes,1.4,Single,No,1.51,56,Apple,Never,Mild,1.8,No,337,5.8,6.2,Yes,2.0,57,Yes,Yes
S0050,23,Other,3rd,7.5,Study,4,4.3,27,4.3,5.09,High,Low,No,Sometimes,Rural,Day Scholar,3,1597,Yes,Severe,Telegram,1.8,7.5,0.6,96,176,Low,8.3,Yes,Yes,Yes,2.6,Single,No,4.03,24,Apple,Always,Moderate,0.8,Yes,62,8.1,3.9,No,1.9,76,Yes,No
S0051,24,Female,3rd,5.9,Gaming,3,2.4,52,6.5,8.27,Moderate,High,Yes,Often,Rural,Day Scholar,3,322,Yes,Moderate,YouTube,1.6,0.0,1.7,133,160,Moderate,5.5,No,No,No,4.1,Single,No,3.76,66,Other,Never,Moderate,2.5,Yes,179,6.6,8.9,Yes,4.7,30,Yes,Yes
S0052,23,Male,3rd,4.4,Gaming,3,3.4,44,6.7,8.09,High,Low,No,Often,Rural,Day Scholar,2,963,Yes,None,Facebook,2.3,3.8,1.0,96,150,Low,4.6,No,No,Yes,1.3,In a Relationship,No,3.44,63,Other,Rarely,Mild,1.4,No,344,5.6,5.1,Yes,3.8,97,Yes,Yes
S0053,20,Male,2nd,3.6,Entertainment,6,1.6,72,6.2,6.55,Moderate,High,Yes,Often,Rural,Hostel,7,1912,Yes,Severe,WhatsApp,1.7,7.8,1.3,126,163,High,9.4,No,No,No,0.0,Complicated,Yes,1.16,52,Samsung,Never,Moderate,1.6,Yes,107,7.3,7.6,No,4.1,86,Yes,Yes
S0054,21,Other,2nd,6.1,Study,4,3.1,107,7.8,5.43,Low,Low,Yes,Often,Rural,Day Scholar,8,629,No,Moderate,Instagram,2.0,5.8,1.8,145,78,Low,5.6,Yes,Yes,No,0.0,In a Relationship,No,4.05,40,Samsung,Often,Moderate,1.4,No,156,5.2,6.0,Yes,2.6,51,No,Yes
S0055,24,Male,4th,6.4,Gaming,2,2.8,114,6.9,5.45,Moderate,High,No,Sometimes,Rural,Hostel,7,1311,No,None,Facebook,1.6,1.4,0.0,88,111,High,5.2,Yes,Yes,No,5.1,Single,Yes,3.57,86,Other,Always,Moderate,2.7,No,309,4.6,7.9,Yes,6.5,87,Yes,Yes
S0056,21,Female,3rd,4.5,Study,5,2.2,87,7.8,9.62,Moderate,High,Yes,Sometimes,Rural,Hostel,8,1525,No,None,Instagram,1.8,0.0,1.6,42,102,High,7.1,No,No,No,1.2,Single,No,4.86,87,Samsung,Never,Mild,1.9,No,39,5.9,4.0,Yes,2.4,42,No,No
S0057,25,Other,1st,7.1,Gaming,9,2.5,13,6.3,8.45,Low,Moderate,Yes,Never,Rural,Day Scholar,6,356,No,Mild,YouTube,1.1,3.9,1.0,50,166,Low,3.4,No,No,No,1.7,Single,Yes,3.35,51,Xiaomi,Never,Mild,2.9,Yes,83,3.6,5.0,No,4.8,68,Yes,Yes
S0058,18,Male,2nd,5.3,Social Media,4,2.4,102,7.4,5.64,High,Low,No,Never,Urban,Day Scholar,9,753,No,Moderate,Facebook,1.3,4.8,1.2,93,225,Moderate,3.9,Yes,Yes,Yes,0.3,In a Relationship,No,2.22,43,OnePlus,Often,Mild,3.2,Yes,181,9.4,5.8,No,0.0,56,Yes,Yes
S0059,20,Other,3rd,3.5,Social Media,8,1.9,50,8.1,6.78,High,Moderate,Yes,Often,Rural,Day Scholar,8,1259,No,Severe,YouTube,1.7,2.3,0.6,66,277,Low,9.4,Yes,Yes,Yes,3.4,Single,Yes,2.53,54,Other,Never,None,1.7,No,382,8.0,4.6,No,2.9,68,No,No
S0060,22,Male,3rd,7.9,Study,9,2.1,54,7.8,7.96,Low,Low,Yes,Never,Rural,Day Scholar,9,1942,Yes,Mild,Facebook,1.7,5.4,0.6,109,140,Low,7.1,Yes,Yes,Yes,0.8,In a Relationship,Yes,1.7,37,Other,Rarely,Mild,1.3,No,420,5.3,5.2,No,2.1,41,No,Yes
S0061,20,Male,2nd,7.7,Entertainment,4,1.6,59,5.4,9.18,Moderate,Moderate,No,Sometimes,Urban,Day Scholar,2,690,No,Moderate,WhatsApp,1.8,6.5,1.2,114,296,Moderate,8.4,No,No,Yes,1.3,Complicated,Yes,3.89,86,Apple,Rarely,Moderate,1.6,No,93,6.0,7.9,No,3.2,53,Yes,Yes
S0062,24,Male,4th,3.0,Gaming,7,3.9,88,6.2,5.22,Moderate,High,No,Never,Rural,Day Scholar,4,543,Yes,Moderate,Snapchat,2.1,7.0,2.2,149,155,Moderate,3.4,Yes,No,Yes,2.4,In a Relationship,No,3.83,73,Samsung,Rarely,Mild,4.7,Yes,482,8.5,6.8,Yes,0.0,47,Yes,No
S0063,22,Female,2nd,5.2,Gaming,3,2.1,37,6.2,6.18,Moderate,Moderate,No,Never,Urban,Hostel,4,517,Yes,Severe,Snapchat,0.8,0.0,1.5,77,135,Low,5.9,No,No,Yes,0.4,Single,Yes,1.8,45,Other,Always,None,1.4,No,82,9.5,8.2,Yes,6.3,44,Yes,Yes
S0064,18,Female,2nd,5.1,Social Media,8,1.8,51,7.0,9.45,High,Moderate,No,Never,Urban,Hostel,3,1415,Yes,Mild,Instagram,1.0,1.1,1.6,85,177,High,9.7,No,No,Yes,1.7,Complicated,No,1.63,79,Other,Never,Moderate,1.8,No,241,7.2,6.1,No,3.3,89,No,No
S0065,24,Other,1st,8.5,Social Media,5,3.8,89,7.2,5.05,Moderate,High,No,Often,Rural,Hostel,4,673,Yes,Mild,Telegram,1.6,4.1,0.9,73,243,Low,3.9,Yes,No,No,4.1,Single,No,1.31,84,Xiaomi,Always,Severe,2.2,Yes,299,6.5,5.8,No,7.5,45,Yes,No
S0066,19,Male,1st,5.9,Entertainment,6,3.4,85,5.7,6.01,High,Moderate,Yes,Never,Urban,Day Scholar,6,228,No,Severe,Facebook,1.1,6.7,0.7,42,288,High,2.4,Yes,Yes,No,2.6,Complicated,Yes,4.65,70,Samsung,Always,Mild,2.5,No,136,3.7,4.0,Yes,4.6,76,Yes,No
S0067,21,Male,4th,3.8,Entertainment,8,3.8,78,6.6,9.8,Moderate,High,No,Sometimes,Rural,Hostel,5,1110,No,Mild,YouTube,3.2,6.5,0.6,33,149,Moderate,5.6,No,No,No,2.2,Single,No,1.93,79,OnePlus,Never,Mild,2.1,Yes,94,6.4,7.6,No,3.5,53,No,Yes
S0068,18,Female,3rd,7.3,Entertainment,4,3.9,107,4.5,8.07,Low,Low,No,Sometimes,Rural,Hostel,4,440,No,None,Telegram,1.8,6.4,0.8,124,225,Moderate,4.5,No,No,Yes,2.3,In a Relationship,No,2.38,78,Xiaomi,Never,Severe,3.8,No,263,4.7,5.8,Yes,3.0,74,No,No
S0069,21,Male,2nd,4.2,Study,6,4.9,115,7.9,6.31,Low,Moderate,Yes,Sometimes,Urban,Hostel,2,909,Yes,Severe,WhatsApp,1.5,3.8,-0.0,102,143,High,2.4,Yes,Yes,No,1.4,Single,No,2.12,95,OnePlus,Rarely,Moderate,2.2,No,161,4.7,6.3,No,4.3,48,Yes,Yes
S0070,23,Female,4th,5.6,Social Media,4,2.8,10,6.0,5.33,High,High,Yes,Sometimes,Urban,Hostel,6,1380,No,Moderate,WhatsApp,1.2,4.0,0.6,141,236,Low,9.0,No,Yes,Yes,5.0,In a Relationship,No,2.65,36,Apple,Always,Mild,1.9,No,321,9.5,5.2,No,4.5,70,Yes,No
S0071,19,Male,1st,4.8,Study,6,1.5,48,6.6,5.14,High,High,Yes,Never,Urban,Hostel,4,1091,No,Severe,WhatsApp,1.3,2.8,0.7,62,248,Moderate,9.9,Yes,Yes,Yes,0.8,In a Relationship,Yes,3.86,40,Other,Always,None,3.0,Yes,16,6.8,10.3,Yes,4.0,60,No,No
S0072,19,Other,2nd,5.2,Social Media,5,3.3,105,6.2,6.22,Low,Moderate,Yes,Often,Rural,Hostel,7,1847,No,None,Snapchat,1.5,7.3,0.9,66,234,High,6.1,Yes,No,Yes,2.3,Complicated,No,4.48,86,Xiaomi,Never,Moderate,1.1,Yes,461,7.3,6.2,Yes,7.5,45,Yes,No
